model,strategy,deg_type_trained,eval_degradation,eval_severity,mean,std,count,formatted
mobilenetv2,curriculum,gaussian_noise,jpeg,2,72.818,1.0240458974089015,5,72.82 ± 1.02
mobilenetv2,curriculum,gaussian_noise,jpeg,3,60.236000000000004,1.200199983336113,5,60.24 ± 1.20
mobilenetv2,curriculum,gaussian_noise,motion_blur,1,62.362,0.9501947168870177,5,62.36 ± 0.95
mobilenetv2,curriculum,gaussian_noise,motion_blur,2,44.794,1.331439071080609,5,44.79 ± 1.33
mobilenetv2,curriculum,gaussian_noise,motion_blur,3,33.94199999999999,1.7070061511312726,5,33.94 ± 1.71
mobilenetv2,mixed,none,clean,0,85.9,0.10723805294763088,5,85.90 ± 0.11
mobilenetv2,mixed,none,contrast,1,86.274,0.1411736519326464,5,86.27 ± 0.14
mobilenetv2,mixed,none,contrast,2,86.268,0.205231576517844,5,86.27 ± 0.21
mobilenetv2,mixed,none,contrast,3,85.408,0.1640731544159516,5,85.41 ± 0.16
mobilenetv2,mixed,none,darkening,1,86.168,0.12872451204025281,5,86.17 ± 0.13
mobilenetv2,mixed,none,darkening,2,86.08000000000001,0.17592612085759302,5,86.08 ± 0.18
mobilenetv2,mixed,none,darkening,3,85.272,0.0925742944882662,5,85.27 ± 0.09
mobilenetv2,mixed,none,gaussian_blur,1,82.54400000000001,0.16846364592991367,5,82.54 ± 0.17
mobilenetv2,mixed,none,gaussian_blur,2,74.008,0.15449919093639142,5,74.01 ± 0.15
mobilenetv2,mixed,none,gaussian_blur,3,65.416,0.797514890143127,5,65.42 ± 0.80
mobilenetv2,mixed,none,gaussian_noise,1,85.514,0.26688949023893926,5,85.51 ± 0.27
mobilenetv2,mixed,none,gaussian_noise,2,83.92,0.27303845882951755,5,83.92 ± 0.27
mobilenetv2,mixed,none,gaussian_noise,3,78.99600000000001,0.27682124195950136,5,79.00 ± 0.28
mobilenetv2,mixed,none,jpeg,1,81.4,0.34547069340248965,5,81.40 ± 0.35
mobilenetv2,mixed,none,jpeg,2,79.376,0.27591665408235133,5,79.38 ± 0.28
mobilenetv2,mixed,none,jpeg,3,69.244,0.3499714274051495,5,69.24 ± 0.35
mobilenetv2,mixed,none,motion_blur,1,84.646,0.13011533345459114,5,84.65 ± 0.13
mobilenetv2,mixed,none,motion_blur,2,83.312,0.22409819276379192,5,83.31 ± 0.22
mobilenetv2,mixed,none,motion_blur,3,80.68199999999999,0.301280600105613,5,80.68 ± 0.30
mobilenetv2,single,gaussian_blur,clean,0,77.976,0.6076429872877658,5,77.98 ± 0.61
mobilenetv2,single,gaussian_blur,contrast,1,78.122,0.5370009310978877,5,78.12 ± 0.54
mobilenetv2,single,gaussian_blur,contrast,2,75.968,0.49190446226884427,5,75.97 ± 0.49
mobilenetv2,single,gaussian_blur,contrast,3,68.924,1.0116718835669989,5,68.92 ± 1.01
mobilenetv2,single,gaussian_blur,darkening,1,77.668,0.737611008594638,5,77.67 ± 0.74
mobilenetv2,single,gaussian_blur,darkening,2,75.684,0.6848211445333752,5,75.68 ± 0.68
mobilenetv2,single,gaussian_blur,darkening,3,70.06,0.6977822009767793,5,70.06 ± 0.70
mobilenetv2,single,gaussian_blur,gaussian_blur,1,80.436,0.37686867739307145,5,80.44 ± 0.38
mobilenetv2,single,gaussian_blur,gaussian_blur,2,77.81800000000001,0.48648740990903055,5,77.82 ± 0.49
mobilenetv2,single,gaussian_blur,gaussian_blur,3,72.724,0.3192647803939548,5,72.72 ± 0.32
mobilenetv2,single,gaussian_blur,gaussian_noise,1,76.038,0.6300952308976825,5,76.04 ± 0.63
mobilenetv2,single,gaussian_blur,gaussian_noise,2,65.42,1.0383640979926045,5,65.42 ± 1.04
mobilenetv2,single,gaussian_blur,gaussian_noise,3,44.93,1.1202678251204048,5,44.93 ± 1.12
mobilenetv2,single,gaussian_blur,jpeg,1,71.156,0.28875595231959833,5,71.16 ± 0.29
mobilenetv2,single,gaussian_blur,jpeg,2,68.966,0.7642512675815465,5,68.97 ± 0.76
mobilenetv2,single,gaussian_blur,jpeg,3,57.58200000000001,1.1447357773739724,5,57.58 ± 1.14
mobilenetv2,single,gaussian_blur,motion_blur,1,77.354,0.44444347222116226,5,77.35 ± 0.44
mobilenetv2,single,gaussian_blur,motion_blur,2,69.53200000000001,0.8006372461982998,5,69.53 ± 0.80
mobilenetv2,single,gaussian_blur,motion_blur,3,59.513999999999996,1.5287347709789292,5,59.51 ± 1.53
mobilenetv2,single,gaussian_noise,clean,0,87.002,0.15801898620103152,5,87.00 ± 0.16
mobilenetv2,single,gaussian_noise,contrast,1,86.13,0.25199206336708696,5,86.13 ± 0.25
mobilenetv2,single,gaussian_noise,contrast,2,81.87,0.48518037882832477,5,81.87 ± 0.49
mobilenetv2,single,gaussian_noise,contrast,3,64.646,1.491569643027107,5,64.65 ± 1.49
mobilenetv2,single,gaussian_noise,darkening,1,86.202,0.18294808006644614,5,86.20 ± 0.18
mobilenetv2,single,gaussian_noise,darkening,2,82.57000000000001,0.30626785662227746,5,82.57 ± 0.31
mobilenetv2,single,gaussian_noise,darkening,3,69.596,1.3692260587645866,5,69.60 ± 1.37
mobilenetv2,single,gaussian_noise,gaussian_blur,1,59.664,2.845589569843128,5,59.66 ± 2.85
mobilenetv2,single,gaussian_noise,gaussian_blur,2,29.389999999999997,0.8803124445331887,5,29.39 ± 0.88
mobilenetv2,single,gaussian_noise,gaussian_blur,3,21.904,0.516652687982944,5,21.90 ± 0.52
mobilenetv2,single,gaussian_noise,gaussian_noise,1,86.894,0.12481987021304013,5,86.89 ± 0.12
mobilenetv2,single,gaussian_noise,gaussian_noise,2,85.92999999999999,0.25019992006392955,5,85.93 ± 0.25
mobilenetv2,single,gaussian_noise,gaussian_noise,3,82.55,0.15984367363145785,5,82.55 ± 0.16
mobilenetv2,single,gaussian_noise,jpeg,1,82.232,0.13442470011124885,5,82.23 ± 0.13
mobilenetv2,single,gaussian_noise,jpeg,2,78.714,0.1390323703315142,5,78.71 ± 0.14
mobilenetv2,single,gaussian_noise,jpeg,3,64.026,0.6809038111216633,5,64.03 ± 0.68
mobilenetv2,single,gaussian_noise,motion_blur,1,76.45599999999999,1.1913773541577823,5,76.46 ± 1.19
mobilenetv2,single,gaussian_noise,motion_blur,2,59.455999999999996,2.1529119814799675,5,59.46 ± 2.15
mobilenetv2,single,gaussian_noise,motion_blur,3,46.644000000000005,2.3716513234453345,5,46.64 ± 2.37
resnet18,baseline,none,clean,0,95.092,0.1691744661584638,5,95.09 ± 0.17
resnet18,baseline,none,contrast,1,94.774,0.2542243104032322,5,94.77 ± 0.25
resnet18,baseline,none,contrast,2,93.52799999999999,0.32337284981890624,5,93.53 ± 0.32
resnet18,baseline,none,contrast,3,88.69000000000001,0.41958312644814083,5,88.69 ± 0.42
resnet18,baseline,none,darkening,1,94.764,0.1993238570768666,5,94.76 ± 0.20
resnet18,baseline,none,darkening,2,93.71600000000001,0.1760113632695376,5,93.72 ± 0.18
resnet18,baseline,none,darkening,3,89.83399999999999,0.39456304946104465,5,89.83 ± 0.39
resnet18,baseline,none,gaussian_blur,1,39.19,2.226825094164335,5,39.19 ± 2.23
resnet18,baseline,none,gaussian_blur,2,18.434,3.1151613120350614,5,18.43 ± 3.12
resnet18,baseline,none,gaussian_blur,3,17.476,2.692708673436472,5,17.48 ± 2.69
resnet18,baseline,none,gaussian_noise,1,91.904,0.21858636736997641,5,91.90 ± 0.22
resnet18,baseline,none,gaussian_noise,2,69.022,1.7661172101533955,5,69.02 ± 1.77
resnet18,baseline,none,gaussian_noise,3,24.966,0.9246242480056437,5,24.97 ± 0.92
resnet18,baseline,none,jpeg,1,76.94200000000001,1.1250422214299332,5,76.94 ± 1.13
resnet18,baseline,none,jpeg,2,67.238,1.559878200373347,5,67.24 ± 1.56
resnet18,baseline,none,jpeg,3,39.815999999999995,1.810505454286177,5,39.82 ± 1.81
resnet18,baseline,none,motion_blur,1,81.804,1.3675818074250676,5,81.80 ± 1.37
resnet18,baseline,none,motion_blur,2,59.254,2.2624720992754805,5,59.25 ± 2.26
resnet18,baseline,none,motion_blur,3,39.186,1.8699411755453703,5,39.19 ± 1.87
resnet18,curriculum,gaussian_blur,clean,0,12.772,2.005260581570386,5,12.77 ± 2.01
resnet18,curriculum,gaussian_blur,contrast,1,13.398000000000001,1.6548625320551555,5,13.40 ± 1.65
resnet18,curriculum,gaussian_blur,contrast,2,14.907999999999998,1.5809395940389372,5,14.91 ± 1.58
resnet18,curriculum,gaussian_blur,contrast,3,17.82,1.2814640065175456,5,17.82 ± 1.28
resnet18,curriculum,gaussian_blur,darkening,1,13.453999999999999,1.4388815100625902,5,13.45 ± 1.44
resnet18,curriculum,gaussian_blur,darkening,2,14.622,1.1663490043721907,5,14.62 ± 1.17
resnet18,curriculum,gaussian_blur,darkening,3,16.734,1.2387412966394542,5,16.73 ± 1.24
resnet18,curriculum,gaussian_blur,gaussian_blur,1,14.3,1.9103533704527025,5,14.30 ± 1.91
resnet18,curriculum,gaussian_blur,gaussian_blur,2,42.303999999999995,2.418197675956206,5,42.30 ± 2.42
resnet18,curriculum,gaussian_blur,gaussian_blur,3,80.732,0.19524343778985012,5,80.73 ± 0.20
resnet18,curriculum,gaussian_blur,gaussian_noise,1,12.428,2.1005880129144794,5,12.43 ± 2.10
resnet18,curriculum,gaussian_blur,gaussian_noise,2,12.366,2.23066806136637,5,12.37 ± 2.23
resnet18,curriculum,gaussian_blur,gaussian_noise,3,11.564,2.1454207046637728,5,11.56 ± 2.15
resnet18,curriculum,gaussian_blur,jpeg,1,11.95,1.9140402294622758,5,11.95 ± 1.91
resnet18,curriculum,gaussian_blur,jpeg,2,11.802,1.9514533045912215,5,11.80 ± 1.95
resnet18,curriculum,gaussian_blur,jpeg,3,11.416,1.9507255060617827,5,11.42 ± 1.95
resnet18,curriculum,gaussian_blur,motion_blur,1,13.126,1.94776281923647,5,13.13 ± 1.95
resnet18,curriculum,gaussian_blur,motion_blur,2,14.124,2.8255318083504206,5,14.12 ± 2.83
resnet18,curriculum,gaussian_blur,motion_blur,3,14.612,2.8725807212330863,5,14.61 ± 2.87
resnet18,curriculum,gaussian_noise,clean,0,89.614,0.28745434420095134,5,89.61 ± 0.29
resnet18,curriculum,gaussian_noise,contrast,1,85.72200000000001,0.48334252864816557,5,85.72 ± 0.48
resnet18,curriculum,gaussian_noise,contrast,2,73.652,0.6481666452387099,5,73.65 ± 0.65
resnet18,curriculum,gaussian_noise,contrast,3,42.714,1.3513807753553426,5,42.71 ± 1.35
resnet18,curriculum,gaussian_noise,darkening,1,85.76,0.335559234711256,5,85.76 ± 0.34
resnet18,curriculum,gaussian_noise,darkening,2,75.276,0.523526503627084,5,75.28 ± 0.52
resnet18,curriculum,gaussian_noise,darkening,3,45.152,1.1137189950791,5,45.15 ± 1.11
resnet18,curriculum,gaussian_noise,gaussian_blur,1,57.326,1.6702035804056936,5,57.33 ± 1.67
resnet18,curriculum,gaussian_noise,gaussian_blur,2,23.759999999999998,1.478901619445999,5,23.76 ± 1.48
resnet18,curriculum,gaussian_noise,gaussian_blur,3,18.426,0.9863721407258015,5,18.43 ± 0.99
resnet18,curriculum,gaussian_noise,gaussian_noise,1,89.70599999999999,0.21881499034572868,5,89.71 ± 0.22
resnet18,curriculum,gaussian_noise,gaussian_noise,2,90.262,0.2638560213449706,5,90.26 ± 0.26
resnet18,curriculum,gaussian_noise,gaussian_noise,3,90.154,0.17067512999848483,5,90.15 ± 0.17
resnet18,curriculum,gaussian_noise,jpeg,1,86.196,0.4421877429327949,5,86.20 ± 0.44
resnet18,curriculum,gaussian_noise,jpeg,2,83.85600000000001,0.41198300935839327,5,83.86 ± 0.41
resnet18,curriculum,gaussian_noise,jpeg,3,72.05,0.52725705305856,5,72.05 ± 0.53
resnet18,curriculum,gaussian_noise,motion_blur,1,78.34200000000001,0.7603420283004226,5,78.34 ± 0.76
resnet18,curriculum,gaussian_noise,motion_blur,2,60.222,1.193679186381334,5,60.22 ± 1.19
resnet18,curriculum,gaussian_noise,motion_blur,3,45.678,1.3122004420057176,5,45.68 ± 1.31
resnet18,mixed,none,clean,0,92.09400000000001,0.08561541917202196,5,92.09 ± 0.09
